Date,Close,Open,High,Low
12/05/21,4063.00,4130.60,4134.70,4056.90
11/05/21,4152.10,4150.30,4162.00,4111.50
10/05/21,4188.40,4228.30,4236.40,4188.10
07/05/21,4232.60,4210.30,4238.00,4201.60
06/05/21,4201.60,4169.10,4202.70,4147.30
05/05/21,4167.60,4177.10,4187.70,4160.90
04/05/21,4164.70,4179.00,4179.00,4128.60
03/05/21,4192.70,4192.00,4209.40,4188.00
30/04/21,4181.20,4198.10,4198.10,4174.90
29/04/21,4211.50,4206.10,4218.80,4176.80
28/04/21,4183.20,4185.10,4201.50,4181.80
27/04/21,4186.70,4188.20,4193.40,4176.20
26/04/21,4187.60,4185.00,4194.20,4182.40
23/04/21,4180.20,4138.80,4194.20,4138.80
22/04/21,4135.00,4170.50,4179.60,4123.70
21/04/21,4173.40,4128.40,4175.00,4126.40
